#### EXPORT DONNEES METEO POUR "REIMS" (LAT/LON: 49.258329/4.031696)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2012-01-01,12,10,25,11,12,11,1.3,97,8.875,1015,97,12,11,8,119,122,122,0,3,3.1,météo défavorable,16:55:00,08:39:00,11,266,11,122,12,122,11,296,10,122
2012-01-02,10,3,23,9,9,4,7.4,97,8.625,1020,60.125,10,10,4,122,263,113,0,2,6.8,météo défavorable,16:56:00,08:39:00,10,302,8,293,7,176,3,113,10,296
2012-01-03,10,2,42,3,7,10,6.5,95,5.875,1022,70.25,10,9,-3,263,266,302,0,3,3.1,météo très défavorable,16:57:00,08:39:00,2,116,5,266,9,266,9,293,3,113
2012-01-04,7,4,26,5,7,6,2.3,90,8.75,1024,45.375,7,6,-1,113,116,266,0,3,6.8,météo très défavorable,16:59:00,08:39:00,6,176,4,113,7,122,6,296,7,116
2012-01-05,9,4,42,7,9,5,7.1,95,9.375,1012,69.375,9,7,2,122,116,119,0,2,6.9,météo défavorable,17:00:00,08:39:00,7,296,8,296,7,113,4,119,7,302
2012-01-06,6,1,21,2,6,2,0,90,10,1028,22,6,2,-3,113,116,113,0,2,8.6,météo très défavorable,17:01:00,08:38:00,2,119,3,113,5,116,1,113,3,113
2012-01-07,5,1,18,1,5,3,0.4,86,9,1026,56.625,5,1,-1,119,119,119,0,2,8.6,météo très défavorable,17:02:00,08:38:00,2,176,2,176,4,176,2,176,2,116
2012-01-08,7,4,17,4,7,6,0.2,96,8,1029,81.875,7,5,0,119,119,143,0,2,5.1,météo très défavorable,17:03:00,08:38:00,4,119,5,116,6,122,5,143,4,119
2012-01-09,5,2,17,2,5,3,1.1,93,7.5,1030,66.625,5,3,-1,119,122,119,0,1,3.3,météo très défavorable,17:05:00,08:37:00,2,176,3,176,5,176,3,176,4,143
2012-01-10,10,6,11,6,10,7,0.4,98,5.5,1035,75.625,10,7,5,248,119,116,0,2,5.1,météo défavorable,17:06:00,08:37:00,7,266,8,143,9,116,7,116,7,248
2012-01-11,9,6,8,7,9,6,0.3,97,7,1036,56.75,9,7,5,266,116,116,0,2,6.9,météo défavorable,17:07:00,08:36:00,6,143,7,119,8,116,6,122,6,143
2012-01-12,7,3,20,3,7,6,0.6,95,7,1034,69.625,7,6,1,116,119,266,0,3,5.1,météo très défavorable,17:08:00,08:36:00,4,119,4,143,7,122,7,266,5,116
2012-01-13,6,3,12,4,6,3,0.1,96,6.75,1031,66.125,6,6,3,143,119,119,0,1,3.3,météo très défavorable,17:10:00,08:35:00,5,143,5,119,6,119,4,116,6,248
2012-01-14,5,-1,12,-1,5,0,0,89,10,1031,2.5,5,0,-4,113,113,113,0,2,8.7,météo très défavorable,17:11:00,08:35:00,0,113,1,113,4,113,0,113,1,113
2012-01-15,4,-1,17,-1,4,-1,0,91,10,1027,6.625,4,0,-5,113,113,113,0,2,8.7,météo très défavorable,17:13:00,08:34:00,-1,113,0,113,3,113,-1,113,-1,113
