#### EXPORT DONNEES METEO POUR "REIMS" (LAT/LON: 49.258329/4.031696)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2024-01-01,8,5,27,6,7,7,0.2,91,10,1014,97,8,6,1,122,122,122,0,2,1,météo très défavorable,16:55:00,08:39:00,6,119,5,122,8,176,8,176,7,176
2024-01-02,9,7,41,9,8,9,5.8,90,5.625,1010,100,9,7,3,266,296,266,0,2,1,météo défavorable,16:56:00,08:39:00,8,296,9,266,8,266,9,176,7,296
2024-01-03,10,8,36,9,10,9,0.6,83,10,1006,88.375,10,7,6,122,176,176,0,2,2,météo défavorable,16:58:00,08:39:00,10,176,10,176,10,176,8,176,10,353
2024-01-04,9,7,28,7,8,9,1.3,90,9.875,1011,91.5,9,6,3,116,176,176,0,2,1,météo défavorable,16:59:00,08:39:00,9,119,7,176,7,296,9,176,8,176
2024-01-05,8,4,18,8,8,5,0,93,10,1007,67.25,8,6,3,176,176,116,0,2,5,météo très défavorable,17:00:00,08:38:00,8,176,6,122,8,116,4,113,7,122
2024-01-06,5,3,19,5,5,5,0.1,95,10,1015,86.25,5,4,0,176,176,176,0,2,1,météo très défavorable,17:01:00,08:38:00,4,122,5,176,4,176,4,176,3,113
2024-01-07,4,0,23,2,2,3,0,96,10,1024,96.5,4,2,-3,368,122,119,0.1,1,1,météo très défavorable,17:02:00,08:38:00,3,326,2,326,3,122,1,122,4,176
2024-01-08,-0,-2,26,-1,-1,-1,0,73,10,1027,95.5,0,0,-8,119,122,122,0,1,1,météo très défavorable,17:03:00,08:38:00,-1,122,-1,122,0,122,-2,122,0,122
2024-01-09,0,-2,25,-2,-1,-1,0,52,10,1027,70.625,0,0,-8,116,116,122,0,1,4,météo très défavorable,17:05:00,08:37:00,-2,122,-2,116,0,122,-2,116,-2,122
2024-01-10,2,-3,12,-2,0,-2,0,58,10,1027,54.875,2,0,-6,122,113,119,0,1,9,météo très défavorable,17:06:00,08:37:00,-2,122,-3,113,2,113,-2,116,-2,122
2024-01-11,3,-3,15,-2,2,-1,0,71,10,1031,9.375,3,0,-6,113,113,113,0,2,9,météo très défavorable,17:07:00,08:36:00,-2,113,-2,113,3,113,-2,113,-2,116
2024-01-12,3,-2,12,-2,2,-1,0,73,10,1032,2.375,3,0,-6,113,113,113,0,2,9,météo très défavorable,17:09:00,08:36:00,-2,113,-2,113,3,113,-2,113,-2,113
2024-01-13,2,-3,6,-2,1,-1,0,94,8,1030,14,2,0,-4,116,113,113,0,1,9,météo très défavorable,17:10:00,08:35:00,-2,143,-2,116,2,113,-2,113,-3,143
2024-01-14,3,-2,9,-2,2,1,0,88,10,1022,34.625,3,0,-5,113,116,119,0,2,8,météo très défavorable,17:11:00,08:34:00,-2,113,-2,113,3,116,0,119,-2,113
