#### EXPORT DONNEES METEO POUR "REIMS" (LAT/LON: 49.258329/4.031696)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2014-01-01,8,4,24,4,8,7,5.1,97,8.75,1012,87.75,8,6,1,119,122,266,0,2,3.1,météo très défavorable,16:56:00,08:39:00,4,119,5,122,8,122,8,296,4,293
2014-01-02,9,6,26,8,9,6,1.6,95,8.375,1007,69.5,9,8,5,122,263,116,0,2,6.8,météo défavorable,16:57:00,08:39:00,8,122,8,353,8,113,6,116,7,266
2014-01-03,12,6,30,8,12,8,3.5,94,9.625,1011,61.25,12,9,5,122,119,356,0,3,4.9,météo défavorable,16:58:00,08:39:00,7,119,9,122,11,353,7,113,6,116
2014-01-04,10,5,23,5,10,8,3.3,95,9.625,1012,65.5,10,8,2,119,122,122,0,3,6.8,météo très défavorable,16:59:00,08:39:00,6,116,7,116,9,113,8,302,6,116
2014-01-05,6,3,16,3,6,5,0.2,96,10,1011,58.375,6,6,-1,116,116,119,0,1,6.9,météo très défavorable,17:00:00,08:38:00,5,116,3,116,6,119,6,116,6,353
2014-01-06,11,7,27,8,10,10,4.8,95,7.125,1009,89.75,11,10,4,266,263,122,0,2,3.2,météo défavorable,17:01:00,08:38:00,7,122,9,296,11,119,11,296,7,266
2014-01-07,11,8,24,8,11,8,2.3,96,8.25,1015,56.125,11,9,4,116,266,176,0,2,6.9,météo défavorable,17:03:00,08:38:00,9,119,8,116,11,353,8,353,9,263
2014-01-08,11,8,15,9,11,9,1.5,98,10,1021,72.5,11,9,6,353,122,116,0,2,5.1,météo défavorable,17:04:00,08:37:00,10,353,8,119,11,116,9,119,8,119
2014-01-09,10,6,27,8,10,8,8.1,94,8.125,1016,72.25,10,9,4,116,302,353,0,2,3.3,météo défavorable,17:05:00,08:37:00,8,116,9,302,10,266,6,176,9,119
2014-01-10,6,2,12,3,6,4,0.4,97,8,1020,46.25,6,5,0,353,116,113,0,2,5.1,météo très défavorable,17:06:00,08:37:00,4,116,5,143,6,119,2,143,5,116
2014-01-11,7,1,10,3,7,3,1.2,92,7.875,1025,38.125,7,5,2,296,113,143,0,2,8.7,météo très défavorable,17:08:00,08:36:00,2,116,5,116,7,116,1,143,2,116
2014-01-12,5,1,15,1,5,2,0,93,9,1026,13.125,5,2,-3,113,113,113,0,1,8.7,météo très défavorable,17:09:00,08:35:00,1,113,1,113,4,113,2,116,1,143
2014-01-13,8,2,14,5,8,6,0.8,98,9,1015,72.875,8,7,2,119,119,116,0,3,3.3,météo très défavorable,17:11:00,08:35:00,4,122,6,119,8,266,4,353,2,116
2014-01-14,4,1,18,4,4,2,5.6,99,7.5,1012,73.375,4,4,-1,122,296,143,0,1,3.3,météo très défavorable,17:12:00,08:34:00,3,119,4,302,4,353,1,143,3,353
2014-01-15,5,1,23,3,4,4,3.7,93,6.75,1013,87,5,5,-2,266,266,122,0,1,3.3,météo très défavorable,17:13:00,08:33:00,2,122,3,296,4,122,5,296,1,143
2014-01-16,8,4,21,4,7,5,1,94,8,1004,75.125,8,6,-0,266,122,116,0,2,3.3,météo très défavorable,17:15:00,08:33:00,5,119,6,266,8,119,5,116,5,122
2014-01-17,8,3,21,3,8,5,0,94,10,1001,33,8,5,-1,116,113,113,0,3,6.9,météo très défavorable,17:16:00,08:32:00,4,116,4,119,8,113,4,113,5,116
2014-01-18,9,2,18,2,9,5,0,95,10,1002,26.875,9,5,-2,116,116,113,0,3,8.7,météo très défavorable,17:18:00,08:31:00,3,116,3,116,8,113,4,113,4,113
2014-01-19,8,5,15,5,8,6,0.3,94,6.75,1001,92.5,8,6,1,122,122,143,0,3,3.3,météo très défavorable,17:19:00,08:30:00,5,122,6,266,8,122,6,248,5,116
2014-01-20,5,3,16,3,3,3,0.9,100,4.25,1011,91.5,5,5,-1,122,122,116,0,1,3.3,météo très défavorable,17:21:00,08:29:00,5,248,3,266,4,266,3,248,5,248
2014-01-21,4,0,10,1,4,0,0,94,4.5,1014,42.875,4,3,-1,143,116,143,0,1,8.7,météo très défavorable,17:23:00,08:28:00,3,248,1,113,4,113,0,143,3,248
