#### EXPORT DONNEES METEO POUR "REIMS" (LAT/LON: 49.258329/4.031696)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2025-01-01,7,1,31,1,4,6,0,87,10,1028,44,7,1,-4,116,116,122,0,2,8,météo très défavorable,16:56:00,08:39:00,1,113,1,113,6,116,7,122,1,113
2025-01-02,7,-1,40,7,1,1,5.3,100,8.625,1022,86.875,7,4,-2,266,317,119,0,1,1,météo très défavorable,16:57:00,08:39:00,7,122,3,296,1,317,1,116,6,119
2025-01-03,2,-1,8,-0,2,-1,0,94,9,1028,21.375,2,1,-3,143,113,113,0,1,8,météo très défavorable,16:58:00,08:39:00,0,113,-1,113,2,116,-1,113,2,119
2025-01-04,2,-2,16,-2,0,0,1.9,86,8.875,1027,67,2,1,-6,119,122,266,0,2,2,météo très défavorable,16:59:00,08:39:00,-1,116,-2,116,2,122,1,296,-1,113
2025-01-05,11,3,35,10,9,9,2.9,93,7.875,1005,81.25,11,9,6,266,176,113,0,2,5,météo défavorable,17:01:00,08:38:00,10,266,10,176,11,116,10,176,3,296
2025-01-06,12,5,55,10,12,7,0.3,81,9,1000,90.125,12,8,7,122,176,176,0,2,1,météo défavorable,17:02:00,08:38:00,11,176,11,176,12,122,6,176,10,266
2025-01-07,6,2,33,6,5,3,0.2,87,9.875,1007,77,6,4,0,200,176,176,0,1,3,météo très défavorable,17:03:00,08:38:00,5,122,5,176,6,176,2,116,5,119
2025-01-08,10,2,15,3,4,8,6.4,97,9.125,1007,85.5,10,9,-1,176,296,296,0,3,1,météo très défavorable,17:04:00,08:37:00,2,119,4,143,4,296,10,296,2,113
2025-01-09,10,0,23,9,4,1,3.1,96,6.875,1017,84.125,10,8,-3,266,296,116,0,2,2,météo très défavorable,17:06:00,08:37:00,9,266,9,266,2,176,0,116,10,176
2025-01-10,2,1,17,2,1,1,2.6,100,5.75,1022,86.75,2,1,-4,176,338,176,3.9,1,1,météo très défavorable,17:07:00,08:36:00,2,176,2,338,1,266,2,248,2,326
2025-01-11,4,-1,14,-1,2,0,0,92,9,1034,10.5,4,0,-4,113,113,113,0,2,9,météo très défavorable,17:08:00,08:36:00,0,113,-1,113,4,116,-1,143,0,113
2025-01-12,4,-1,15,-1,3,0,0,96,9,1041,12.125,4,0,-4,143,113,113,0,2,9,météo très défavorable,17:10:00,08:35:00,0,113,-1,113,4,113,-1,113,-1,113
2025-01-13,3,-3,17,-2,2,-1,0,88,10,1041,0.5,3,0,-6,113,113,113,0,2,9,météo très défavorable,17:11:00,08:35:00,-1,113,-2,113,3,113,-2,113,-2,113
2025-01-14,4,-3,9,-2,3,-0,0,63,10,1038,14.875,4,0,-5,113,113,113,0,2,9,météo très défavorable,17:12:00,08:34:00,-2,113,-2,116,4,113,0,116,-3,113
2025-01-15,5,0,9,2,4,3,0,97,7.75,1035,90.375,5,4,1,176,248,122,0,1,1,météo très défavorable,17:14:00,08:33:00,2,122,3,143,5,122,3,119,0,119
