#### EXPORT DONNEES METEO POUR "REIMS" (LAT/LON: 49.258329/4.031696)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2020-01-01,3,0,10,0,3,1,0,86,10,1033,25.75,3,0,-3,116,119,116,0,2,8.2,météo très défavorable,16:55:00,08:39:00,0,116,1,116,3,116,0,116,0,116
2020-01-02,6,1,11,2,5,6,0,97,6,1030,82.125,6,5,-0,143,143,143,0,1,3.1,météo très défavorable,16:56:00,08:39:00,1,122,3,143,6,119,5,119,1,119
2020-01-03,10,5,23,8,10,9,0.4,91,10,1030,91.5,10,8,4,122,122,176,0,2,3.1,météo défavorable,16:57:00,08:39:00,7,122,9,122,10,122,7,353,5,122
2020-01-04,7,3,13,3,6,6,0.3,90,9.625,1036,50.5,7,4,1,116,116,122,0,1,6.8,météo très défavorable,16:59:00,08:39:00,4,119,3,116,7,116,6,176,7,266
2020-01-05,6,3,3,3,6,4,0.3,92,9.875,1036,26.375,6,4,3,116,116,116,0,1,8.6,météo très défavorable,17:00:00,08:38:00,4,176,3,116,6,116,3,116,5,176
2020-01-06,5,-2,10,1,4,3,0,94,10,1033,16.375,5,2,-2,116,116,116,0,2,8.6,météo très défavorable,17:01:00,08:38:00,2,116,1,116,5,116,-2,116,3,116
2020-01-07,8,2,12,6,7,6,0.2,96,5.375,1030,50.5,8,6,3,116,143,116,0,3,6.9,météo très défavorable,17:02:00,08:38:00,6,266,5,143,8,116,5,143,2,116
2020-01-08,11,6,15,9,11,10,0.1,98,10,1027,100,12,10,7,122,122,176,0,2,3.2,météo défavorable,17:03:00,08:38:00,8,122,10,122,11,122,6,122,7,122
2020-01-09,11,10,23,10,11,11,2.6,95,8.75,1024,100,11,10,8,122,266,122,0,3,3.3,météo défavorable,17:05:00,08:37:00,11,122,11,122,11,122,11,122,11,122
2020-01-10,8,5,30,8,8,6,4.5,88,8.375,1031,82.375,8,6,4,266,296,116,0,2,3.3,météo très défavorable,17:06:00,08:37:00,8,119,8,389,8,296,5,119,8,293
2020-01-11,6,2,9,2,5,4,0,94,8,1033,30.125,6,3,1,143,116,122,0,2,6.9,météo très défavorable,17:07:00,08:36:00,2,143,2,116,6,116,2,116,3,116
2020-01-12,7,2,21,2,5,7,0,91,10,1029,48.75,7,5,-2,116,116,122,0,2,5.1,météo très défavorable,17:09:00,08:36:00,3,116,3,116,6,122,6,119,3,116
2020-01-13,9,4,18,6,7,8,0.6,94,7.375,1025,83.875,9,7,3,143,122,266,0,2,3.3,météo défavorable,17:10:00,08:35:00,6,176,6,116,9,122,4,263,6,176
2020-01-14,9,6,35,8,9,9,0.4,75,8,1010,100,9,5,4,266,122,122,0,2,3.3,météo défavorable,17:11:00,08:34:00,8,122,8,266,9,122,6,122,7,122
2020-01-15,10,6,29,8,9,10,0.5,77,10,1019,81.625,10,6,3,176,116,176,0,2,6.9,météo défavorable,17:13:00,08:34:00,9,122,7,176,10,119,9,176,6,122
