#### EXPORT DONNEES METEO POUR "REIMS" (LAT/LON: 49.258329/4.031696)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2016-01-01,7,3,17,3,7,6,0,95,9,1025,64.875,7,5,1,143,119,122,0,3,4.9,météo très défavorable,16:55:00,08:39:00,4,116,4,116,7,122,6,122,5,116
2016-01-02,11,5,28,7,11,8,8.5,96,8.25,1012,81.375,11,7,4,302,119,119,0,2,4.9,météo défavorable,16:56:00,08:39:00,6,302,8,116,10,119,7,266,5,122
2016-01-03,8,4,29,4,8,6,8.9,93,7.375,1010,89.375,8,5,0,119,122,122,0,2,4.9,météo très défavorable,16:57:00,08:39:00,6,119,5,116,8,266,6,308,7,266
2016-01-04,7,1,16,1,4,3,12.7,90,7.625,1020,69.625,7,7,-2,119,119,119,0,1,6.8,météo très défavorable,16:59:00,08:39:00,6,389,2,176,4,176,2,176,7,389
2016-01-05,7,2,25,4,6,7,2.5,95,8.125,1013,84.75,7,5,1,122,389,266,0,2,3.2,météo très défavorable,17:00:00,08:38:00,3,176,5,122,7,296,6,116,2,176
2016-01-06,7,5,14,5,7,6,1.6,95,8,1000,89.375,7,6,2,353,122,143,0,2,3.2,météo très défavorable,17:01:00,08:38:00,6,353,6,266,7,353,5,119,6,119
2016-01-07,9,5,34,6,9,8,3.1,92,8.75,1002,80,9,7,1,119,266,119,0,2,3.2,météo défavorable,17:02:00,08:38:00,5,119,6,296,9,122,6,176,5,122
2016-01-08,7,2,12,2,7,5,0.3,90,9,1006,31.625,7,5,-0,113,113,143,0,2,8.7,météo très défavorable,17:03:00,08:38:00,3,113,3,113,7,116,5,116,5,113
2016-01-09,9,3,18,3,8,6,0,94,9,1004,46.625,9,7,-1,116,122,116,0,2,5.1,météo très défavorable,17:05:00,08:37:00,3,113,4,116,9,119,7,116,4,143
2016-01-10,9,5,24,6,9,6,2.6,89,9,995,51.375,9,7,1,113,116,119,0,2,6.9,météo très défavorable,17:06:00,08:37:00,8,353,5,113,8,353,5,113,8,266
2016-01-11,8,5,28,5,8,7,3.6,96,8.875,994,78.875,8,5,1,122,266,353,0,3,3.3,météo très défavorable,17:07:00,08:36:00,5,119,6,296,8,353,6,353,5,116
2016-01-12,7,4,32,4,7,5,1.7,92,9,1006,80.625,7,4,-0,119,353,353,0,3,3.3,météo très défavorable,17:09:00,08:36:00,5,353,6,122,7,353,5,266,5,116
2016-01-13,7,2,28,5,7,3,3.2,89,7.875,1019,60.125,7,3,0,296,353,113,0,1,6.9,météo très défavorable,17:10:00,08:35:00,5,266,5,353,6,113,2,116,6,266
2016-01-14,5,2,27,2,5,3,4.5,86,9.125,1016,62.25,5,3,-3,263,296,122,0,2,5.1,météo très défavorable,17:11:00,08:35:00,2,122,3,293,5,113,3,113,2,116
2016-01-15,4,1,31,1,4,2,0.4,80,9,1020,65.875,4,0,-5,329,122,119,0.3,2,5.1,météo très défavorable,17:13:00,08:34:00,2,326,2,116,3,119,2,332,1,116
2016-01-16,5,-1,21,-1,5,0,2.9,93,7.375,1028,42,5,1,-5,185,116,371,1.5,1,8.7,météo très défavorable,17:14:00,08:33:00,2,335,1,113,4,182,0,371,2,338
2016-01-17,4,-3,15,-0,4,-2,0.2,90,9.625,1028,30.125,4,0,-4,116,113,113,0.2,1,8.7,météo très défavorable,17:16:00,08:32:00,-1,116,1,113,2,113,-3,113,-1,371
2016-01-18,0,-4,21,-3,0,-3,0,82,10,1025,23.375,0,0,-9,113,113,113,0,2,8.7,météo très défavorable,17:17:00,08:32:00,-3,119,-3,113,-1,113,-4,113,-3,116
2016-01-19,-1,-5,8,-5,-1,-4,0,85,10,1018,37.75,0,0,-9,119,116,113,0,2,6.9,météo très défavorable,17:19:00,08:31:00,-5,116,-4,119,-1,113,-5,113,-5,113
2016-01-20,1,-5,5,-5,0,-3,0,69,10,1023,3.625,1,0,-8,113,113,113,0,2,8.7,météo très défavorable,17:20:00,08:30:00,-5,113,-4,113,1,113,-4,113,-5,113
2016-01-21,2,-4,8,-4,2,-2,0,61,10,1027,9,2,0,-6,113,116,113,0,2,8.7,météo très défavorable,17:22:00,08:29:00,-4,113,-2,113,2,113,-3,113,-4,113
2016-01-22,3,-3,20,-3,3,2,3.7,76,7.875,1028,43.5,3,2,-8,113,116,296,0,2,6.9,météo très défavorable,17:23:00,08:28:00,-3,113,-2,113,2,266,3,266,-3,113
2016-01-23,6,1,12,1,6,2,0.2,97,5.5,1035,65.25,6,5,-2,143,119,143,0,1,5.1,météo très défavorable,17:25:00,08:27:00,2,248,3,248,6,116,2,116,3,119
2016-01-24,8,1,12,2,7,5,0.5,89,8,1034,69.25,8,6,-1,116,266,119,0,3,3.4,météo très défavorable,17:26:00,08:26:00,1,116,4,266,8,122,5,116,1,116
2016-01-25,10,3,15,3,10,6,0,81,10,1030,8.375,10,5,0,113,113,113,0,3,8.7,météo très défavorable,17:28:00,08:25:00,4,113,4,113,10,113,6,113,4,116
2016-01-26,10,6,28,7,10,8,0.4,98,7,1028,61.125,10,8,5,266,122,113,0,2,3.4,météo défavorable,17:30:00,08:23:00,6,143,8,122,9,119,9,116,6,143
2016-01-27,11,8,32,8,11,10,6.9,91,5.75,1023,93,11,8,5,266,122,302,0,2,3.4,météo défavorable,17:31:00,08:22:00,9,263,9,266,10,296,10,296,9,266
2016-01-28,10,4,10,8,9,5,4.7,92,9.625,1029,50.625,10,9,5,293,113,116,0,2,8.7,météo défavorable,17:33:00,08:21:00,10,296,7,116,8,116,4,113,10,296
2016-01-29,8,2,27,2,8,7,0.2,88,10,1031,50.875,8,6,-2,113,116,122,0,3,6.9,météo très défavorable,17:35:00,08:20:00,3,113,4,113,8,122,7,122,3,116
2016-01-30,8,6,46,8,8,7,12.6,94,7,1024,91.5,8,7,2,266,296,296,0,2,3.4,météo très défavorable,17:36:00,08:19:00,8,122,7,266,8,308,6,176,8,122
2016-01-31,12,5,28,5,8,12,2.7,96,7.875,1017,97.875,12,11,2,122,122,266,0,2,3.5,météo très défavorable,17:38:00,08:17:00,6,122,6,266,9,296,12,122,6,122
2016-02-01,12,10,32,10,11,10,0.3,88,9,1026,90.375,12,11,7,122,122,119,0,3,3.5,météo défavorable,17:40:00,08:16:00,11,266,10,122,11,122,10,119,12,122
2016-02-02,11,7,35,10,11,8,4.1,92,7.75,1024,91.5,11,9,6,122,266,296,0,3,3.5,météo défavorable,17:41:00,08:15:00,10,122,10,266,11,296,7,116,10,122
2016-02-03,7,4,28,5,7,4,1.1,91,10,1028,72.125,7,4,1,116,116,119,0,2,7,météo très défavorable,17:43:00,08:13:00,5,122,5,353,7,353,5,119,6,119
2016-02-04,9,3,32,4,7,9,4.9,92,8.5,1030,78.75,9,8,-1,119,302,122,0,3,3.5,météo très défavorable,17:45:00,08:12:00,3,119,4,296,9,266,7,119,3,113
2016-02-05,11,7,19,8,11,9,1,98,4.75,1028,91.75,11,9,6,266,266,122,0,2,3.5,météo défavorable,17:46:00,08:10:00,8,266,9,266,11,122,8,116,7,248
2016-02-06,12,6,27,7,11,10,0.2,94,10,1019,34.375,12,6,3,119,113,113,0,3,7,météo défavorable,17:48:00,08:09:00,6,116,7,122,12,113,10,113,6,116
2016-02-07,10,6,30,8,9,6,2.3,89,9.75,1007,59.875,10,7,3,122,119,116,0,3,7,météo défavorable,17:50:00,08:07:00,10,296,7,116,9,176,6,116,9,116
2016-02-08,11,7,49,11,9,7,7.6,84,8.75,1004,75.625,11,8,4,353,122,116,0,2,5.3,météo défavorable,17:51:00,08:06:00,9,266,10,353,9,353,7,176,7,296
2016-02-09,12,4,57,7,12,4,10.6,94,9.25,1004,84.25,12,8,2,122,356,122,0,3,3.6,météo défavorable,17:53:00,08:04:00,7,353,10,302,7,353,4,122,7,116
2016-02-10,7,2,41,3,6,5,2.2,84,7.625,1004,95.5,7,2,-3,317,296,122,0,1,3.6,météo très défavorable,17:54:00,08:02:00,2,119,4,317,7,266,4,266,3,122
2016-02-11,7,2,17,3,6,3,1.4,93,9.875,1007,69,7,2,-0,119,353,116,0,1,5.3,météo très défavorable,17:56:00,08:01:00,3,119,4,122,7,176,2,116,3,353
2016-02-12,6,0,25,0,6,3,0.7,97,9,1006,62.5,6,1,-4,119,122,122,0,2,5.4,météo très défavorable,17:58:00,07:59:00,0,113,3,116,5,266,3,116,1,113
2016-02-13,8,0,29,1,5,6,6.8,94,7.375,994,78.125,8,6,-3,119,302,266,0,2,3.8,météo très défavorable,17:59:00,07:58:00,0,116,2,296,8,296,6,266,0,116
2016-02-14,6,1,18,3,5,2,0.9,93,8,1000,83.125,6,5,-1,122,122,116,0,1,6.8,météo très défavorable,18:01:00,07:56:00,4,266,4,122,6,119,1,116,5,266
2016-02-15,4,0,35,2,4,0,0.7,86,6.875,1028,53.75,4,1,-5,230,116,113,0.1,1,10,météo très défavorable,18:03:00,07:54:00,2,332,2,230,4,113,0,113,2,122
2016-02-16,5,-1,16,-1,4,-0,0,87,10,1035,1.75,5,0,-6,113,113,113,0,2,10.5,météo très défavorable,18:04:00,07:52:00,-1,113,1,113,5,113,-1,113,-1,113
2016-02-17,4,-2,8,-2,4,2,0,82,10,1030,34,4,0,-5,113,113,119,0,2,8.4,météo très défavorable,18:06:00,07:51:00,-2,113,0,113,4,119,1,119,-2,113
2016-02-18,5,-2,15,-2,4,1,0.4,86,9.875,1018,73.625,5,1,-6,119,119,122,0,1,6.9,météo très défavorable,18:08:00,07:49:00,-2,116,1,119,5,116,2,317,0,323
2016-02-19,7,-1,18,-1,6,3,2.5,92,9.75,1023,43.25,7,2,-5,182,119,113,0,1,10,météo très défavorable,18:09:00,07:47:00,2,317,2,116,7,113,2,113,2,122
2016-02-20,11,3,34,6,9,11,14.6,93,7.125,1020,96.75,11,10,1,302,266,302,0,2,5.3,météo défavorable,18:11:00,07:45:00,4,296,7,296,10,296,11,296,3,263
2016-02-21,13,9,36,11,11,11,2.9,91,6.875,1019,92.875,13,10,7,122,266,119,0,3,5.4,météo défavorable,18:13:00,07:43:00,11,266,10,266,13,119,9,119,12,296
2016-02-22,11,7,34,7,11,10,2.5,92,8.875,1015,74.875,11,8,3,116,122,266,0,2,6.9,météo défavorable,18:14:00,07:42:00,8,116,9,116,11,122,9,296,9,119
2016-02-23,8,3,20,5,8,5,9,91,8.625,1021,52.125,8,6,2,296,116,113,0,2,10.8,météo très défavorable,18:16:00,07:40:00,6,296,5,263,8,176,3,113,7,302
2016-02-24,7,1,12,1,7,4,0.2,88,9,1021,42.125,7,1,-1,113,113,119,0,2,8.5,météo très défavorable,18:17:00,07:38:00,1,113,4,116,7,116,3,266,2,113
2016-02-25,6,0,11,0,6,2,0,78,10,1017,16,6,0,-3,113,113,113,0,2,10.8,météo très défavorable,18:19:00,07:36:00,1,116,3,113,6,113,1,113,2,113
2016-02-26,6,0,14,0,6,1,0,71,10,1017,36.625,6,0,-2,119,116,113,0,2,10.9,météo très défavorable,18:21:00,07:34:00,0,116,3,116,6,116,1,113,0,113
2016-02-27,7,-1,26,-1,7,2,0,76,10,1008,52.5,7,0,-6,122,113,119,0,2,10.1,météo très défavorable,18:22:00,07:32:00,-1,116,2,116,4,113,1,119,-1,113
2016-02-28,7,0,36,-0,7,3,0,72,10,1017,52.5,7,0,-6,116,119,116,0,1,8.5,météo très défavorable,18:24:00,07:30:00,0,116,3,119,7,113,2,119,0,119
2016-02-29,7,-1,32,-1,7,2,0,81,10,1025,4.625,7,0,-7,113,113,113,0,2,11,météo très défavorable,18:26:00,07:28:00,0,113,3,113,7,113,0,113,1,116
