#### EXPORT DONNEES METEO POUR "REIMS" (LAT/LON: 49.258329/4.031696)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2022-01-01,13,8,10,9,12,10,0,95,6,1026,50.375,13,10,6,143,113,116,0,3,6.8,météo correcte,16:56:00,08:39:00,10,143,8,143,13,122,9,113,9,143
2022-01-02,12,8,26,9,12,12,0.3,85,10,1023,80.375,12,10,7,122,122,176,0,4,3.1,météo défavorable,16:57:00,08:39:00,8,119,11,176,12,176,11,119,8,113
2022-01-03,12,9,24,10,11,10,3.5,86,7.875,1020,87.75,12,9,7,176,119,266,0,3,3.1,météo défavorable,16:58:00,08:39:00,11,119,10,119,10,266,9,296,12,176
2022-01-04,12,2,42,11,12,2,9.9,93,7.125,1012,100,12,10,1,296,296,230,0,2,3.1,météo très défavorable,16:59:00,08:39:00,10,266,12,296,5,296,2,122,11,296
2022-01-05,4,0,23,1,3,4,1.5,86,9.875,1021,79,4,4,-4,311,116,176,0,1,6.9,météo très défavorable,17:00:00,08:38:00,2,122,0,113,4,122,3,122,4,296
2022-01-06,6,0,7,1,4,2,0.1,91,10,1025,40.625,6,1,-2,113,113,113,0,1,8.6,météo très défavorable,17:01:00,08:38:00,3,176,0,113,6,113,2,122,3,122
2022-01-07,6,1,21,2,4,4,1.2,97,6,1021,80,6,3,-3,266,266,266,0,2,5.1,météo très défavorable,17:03:00,08:38:00,1,266,3,122,6,116,2,116,2,116
2022-01-08,8,0,31,0,4,8,2.1,95,6.625,1018,78.5,8,7,-3,119,266,296,0,1,3.3,météo très défavorable,17:04:00,08:37:00,1,113,2,122,7,266,8,116,2,230
2022-01-09,6,2,25,3,6,4,0.5,87,10,1016,60.75,6,3,-2,119,113,113,0,1,8.7,météo très défavorable,17:05:00,08:37:00,4,119,2,116,6,116,3,122,4,353
2022-01-10,5,1,10,4,5,4,0.2,93,10,1026,77.875,5,4,2,122,122,119,0,1,3.3,météo très défavorable,17:07:00,08:36:00,3,122,3,122,5,122,1,113,4,353
2022-01-11,5,0,5,0,4,1,0,87,10,1037,39.625,5,0,-1,116,116,116,0,2,6.9,météo très défavorable,17:08:00,08:36:00,0,119,0,113,5,116,0,116,0,113
2022-01-12,6,0,9,-0,4,2,0,88,10,1040,18.75,6,0,-1,116,116,113,0,2,8.7,météo très défavorable,17:09:00,08:35:00,0,113,1,116,6,113,1,113,0,113
2022-01-13,9,-1,11,-1,6,5,0,86,10,1040,0.5,9,4,-3,113,113,113,0,2,8.7,météo très défavorable,17:11:00,08:35:00,0,113,-1,113,9,113,1,113,0,113
