#### EXPORT DONNEES METEO POUR "REIMS" (LAT/LON: 49.258329/4.031696)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2019-01-01,8,5,13,6,8,7,0.5,91,10,1035,86.75,8,6,4,122,119,122,0,2,3.1,météo très défavorable,16:56:00,08:39:00,6,122,6,122,7,122,5,116,6,119
2019-01-02,5,1,14,2,5,4,0.4,88,10,1040,61.875,5,3,-1,119,122,353,0,1,3.1,météo très défavorable,16:57:00,08:39:00,2,113,3,119,5,119,1,113,5,122
2019-01-03,5,0,9,2,5,1,0.3,91,10,1041,34.25,5,1,-0,119,116,113,0,2,8.2,météo très défavorable,16:58:00,08:39:00,1,116,2,116,5,116,0,113,1,113
2019-01-04,5,0,11,0,5,2,0.1,94,10,1040,57.125,5,1,-3,116,119,122,0,2,5,météo très défavorable,16:59:00,08:39:00,0,113,1,116,4,122,2,122,0,113
2019-01-05,5,1,17,2,4,4,0.3,92,10,1038,95.125,5,3,-2,122,122,122,0,1,3.2,météo très défavorable,17:00:00,08:38:00,1,122,3,122,5,122,3,119,1,122
2019-01-06,4,2,14,2,4,4,0.4,90,10,1036,96.625,4,3,-1,122,122,122,0,1,3.2,météo très défavorable,17:01:00,08:38:00,3,122,3,122,4,122,4,122,3,122
2019-01-07,7,4,12,4,6,5,1.2,94,7,1036,92,7,5,2,119,122,122,0,2,3.2,météo très défavorable,17:02:00,08:38:00,4,119,5,143,7,122,6,266,4,266
2019-01-08,9,4,23,7,8,5,3.1,91,8.75,1028,79,9,7,2,353,122,176,0,2,3.3,météo défavorable,17:04:00,08:37:00,9,266,6,122,7,353,4,353,7,296
2019-01-09,6,1,24,4,6,2,0.8,85,10,1024,43.625,6,2,-1,353,122,113,0,2,6.9,météo très défavorable,17:05:00,08:37:00,4,353,3,116,5,113,1,113,4,116
2019-01-10,4,0,15,-0,4,1,0,88,10,1028,57.875,4,0,-5,116,122,119,0,2,3.3,météo très défavorable,17:06:00,08:37:00,0,116,1,119,3,119,0,116,0,113
